frequency_GHz,TE_reflection_real,TE_reflection_imag,TE_reflection_dB,TM_reflection_real,TM_reflection_imag,TM_reflection_dB
8.000000,0.098467629,-0.24037925,-11.708374,0.095816313,-0.24232457,-11.681177
8.004000,0.097610329,-0.24078449,-11.706644,0.09495087,-0.24272503,-11.679313
8.008000,0.096746745,-0.24118795,-11.704932,0.094079108,-0.24312367,-11.677467
8.012000,0.095876835,-0.24158957,-11.703239,0.093200984,-0.24352041,-11.675638
8.016000,0.095000556,-0.24198928,-11.701566,0.092316455,-0.24391521,-11.673828
8.020000,0.094117866,-0.24238703,-11.699913,0.091425479,-0.24430799,-11.672037
8.024000,0.093228723,-0.24278276,-11.698281,0.090528013,-0.24469871,-11.670265
8.028000,0.092333086,-0.24317641,-11.69667,0.089624016,-0.24508728,-11.668513
8.032000,0.091430911,-0.2435679,-11.69508,0.088713445,-0.24547366,-11.666782
8.036000,0.090522157,-0.24395717,-11.693513,0.087796258,-0.24585777,-11.665072
8.040000,0.089606783,-0.24434417,-11.691968,0.086872412,-0.24623955,-11.663384
8.044000,0.088684747,-0.24472881,-11.690447,0.085941867,-0.24661892,-11.661717
8.048000,0.087756007,-0.24511104,-11.68895,0.08500458,-0.24699582,-11.660073
8.052000,0.086820521,-0.24549078,-11.687477,0.084060509,-0.24737018,-11.658453
8.056000,0.085878249,-0.24586796,-11.68603,0.083109613,-0.24774193,-11.656857
8.060000,0.08492915,-0.24624251,-11.684608,0.08215185,-0.24811099,-11.655285
8.064000,0.083973183,-0.24661436,-11.683213,0.08118718,-0.24847729,-11.653738
8.068000,0.083010307,-0.24698342,-11.681845,0.080215562,-0.24884076,-11.652217
8.072000,0.082040481,-0.24734963,-11.680504,0.079236955,-0.24920131,-11.650723
8.076000,0.081063666,-0.24771291,-11.679192,0.078251318,-0.24955887,-11.649255
8.080000,0.080079822,-0.24807317,-11.677909,0.077258612,-0.24991336,-11.647815
8.084000,0.079088909,-0.24843035,-11.676655,0.076258796,-0.25026469,-11.646404
8.088000,0.078090888,-0.24878434,-11.675432,0.075251831,-0.25061279,-11.645022
8.092000,0.07708572,-0.24913508,-11.67424,0.074237679,-0.25095757,-11.643669
8.096000,0.076073367,-0.24948248,-11.67308,0.073216299,-0.25129895,-11.642347
8.100000,0.07505379,-0.24982646,-11.671953,0.072187654,-0.25163683,-11.641056
8.104000,0.074026952,-0.25016691,-11.670859,0.071151705,-0.25197114,-11.639798
8.108000,0.072992815,-0.25050377,-11.669799,0.070108416,-0.25230177,-11.638571
8.112000,0.071951342,-0.25083693,-11.668774,0.069057749,-0.25262865,-11.637379
8.116000,0.070902498,-0.25116631,-11.667784,0.067999666,-0.25295167,-11.636221
8.120000,0.069846246,-0.2514918,-11.666831,0.066934133,-0.25327075,-11.635097
8.124000,0.068782552,-0.25181333,-11.665915,0.065861114,-0.25358578,-11.63401
8.128000,0.067711379,-0.25213078,-11.665038,0.064780574,-0.25389667,-11.632959
8.132000,0.066632694,-0.25244407,-11.664199,0.063692477,-0.25420333,-11.631946
8.136000,0.065546465,-0.25275309,-11.6634,0.062596791,-0.25450564,-11.630971
8.140000,0.064452657,-0.25305775,-11.662642,0.061493483,-0.25480351,-11.630036
8.144000,0.063351238,-0.25335793,-11.661926,0.060382519,-0.25509684,-11.62914
8.148000,0.062242178,-0.25365354,-11.661252,0.059263869,-0.25538552,-11.628286
8.152000,0.061125445,-0.25394447,-11.660621,0.058137501,-0.25566943,-11.627473
8.156000,0.06000101,-0.25423061,-11.660035,0.057003385,-0.25594848,-11.626704
8.160000,0.058868843,-0.25451186,-11.659494,0.055861492,-0.25622256,-11.625978
